NombreBodega|Ano|Mes|Total_Venta_Mensual
Bodega Cuarta|2019|1|9483.51
Bodega Cuarta|2019|2|12713.83
Bodega Cuarta|2019|3|21388.91
Bodega Cuarta|2019|4|7650.51
Bodega Cuarta|2019|5|7091.58
Bodega Cuarta|2019|6|7753.97
Bodega Cuarta|2019|7|6200.3
Bodega Cuarta|2019|8|7300.89
Bodega Cuarta|2019|9|6402.49
Bodega Cuarta|2019|10|7680.86
Bodega Cuarta|2019|11|9318.83
Bodega Cuarta|2019|12|24063.61
Bodega Cuarta|2020|1|10678.22
Bodega Cuarta|2020|3|130.6
Bodega Cuarta|2020|6|15921.3
Bodega Cuarta|2020|7|14585.17
Bodega Cuarta|2020|9|21886.53
Bodega Cuarta|2020|12|16030.63
Bodega Principal|2019|1|12773.01
Bodega Principal|2019|2|23714.82
Bodega Principal|2019|3|87590.97
Bodega Principal|2019|4|13864.46
Bodega Principal|2019|5|14208.83
Bodega Principal|2019|6|14460.77
Bodega Principal|2019|7|11593.58
Bodega Principal|2019|8|11844.539999999999
Bodega Principal|2019|9|10790.72
Bodega Principal|2019|10|16873.09
Bodega Principal|2019|11|20682.38
Bodega Principal|2019|12|41239.07
Bodega Principal|2020|1|15928.42
Bodega Principal|2020|3|60.0
Bodega Principal|2020|6|22751.24
Bodega Principal|2020|7|18318.54
Bodega Principal|2020|9|23988.96
Bodega Principal|2020|12|29779.54
Bodega Secundaria|2019|1|17273.57
Bodega Secundaria|2019|2|18660.67
Bodega Secundaria|2019|3|21124.73
Bodega Secundaria|2019|4|16901.33
Bodega Secundaria|2019|5|16699.58
Bodega Secundaria|2019|6|19637.79
Bodega Secundaria|2019|7|16853.54
Bodega Secundaria|2019|8|17035.02
Bodega Secundaria|2019|9|16029.24
Bodega Secundaria|2019|10|16933.13
Bodega Secundaria|2019|11|22097.24
Bodega Secundaria|2019|12|48279.55
Bodega Secundaria|2020|1|16904.74
Bodega Secundaria|2020|3|127.06
Bodega Secundaria|2020|6|19807.41
Bodega Secundaria|2020|7|19618.710000000003
Bodega Secundaria|2020|9|19309.38
Bodega Secundaria|2020|12|32688.76
Tercera Bodega|2019|1|24378.06
Tercera Bodega|2019|2|27801.5
Tercera Bodega|2019|3|47721.55
Tercera Bodega|2019|4|23641.43
Tercera Bodega|2019|5|18830.42
Tercera Bodega|2019|6|23054.54
Tercera Bodega|2019|7|19970.05
Tercera Bodega|2019|8|22395.38
Tercera Bodega|2019|9|19615.24
Tercera Bodega|2019|10|27291.0
Tercera Bodega|2019|11|34855.87
Tercera Bodega|2019|12|71248.43
Tercera Bodega|2020|1|30552.98
Tercera Bodega|2020|3|210.6
Tercera Bodega|2020|6|20435.67
Tercera Bodega|2020|7|32495.29
Tercera Bodega|2020|9|35291.17
Tercera Bodega|2020|12|51708.0
